# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
1.00000e+02	1.14814e-02
1.00700e+02	1.14980e-02
1.01401e+02	1.15148e-02
1.02101e+02	1.15315e-02
1.02801e+02	1.15483e-02
1.03502e+02	1.15651e-02
1.04202e+02	1.15820e-02
1.04902e+02	1.15989e-02
1.05603e+02	1.16159e-02
1.06303e+02	1.16328e-02
1.07004e+02	1.16499e-02
1.07704e+02	1.16669e-02
1.08404e+02	1.16840e-02
1.09105e+02	1.17011e-02
1.09805e+02	1.17183e-02
1.10505e+02	1.17355e-02
1.11206e+02	1.17528e-02
1.11906e+02	1.17700e-02
1.12606e+02	1.17874e-02
1.13307e+02	1.18047e-02
1.14007e+02	1.18221e-02
1.14707e+02	1.18396e-02
1.15408e+02	1.18570e-02
1.16108e+02	1.18746e-02
1.16808e+02	1.18921e-02
1.17509e+02	1.19097e-02
1.18209e+02	1.19273e-02
1.18909e+02	1.19450e-02
1.19610e+02	1.19627e-02
1.20310e+02	1.19805e-02
1.21011e+02	1.19983e-02
1.21711e+02	1.20161e-02
1.22411e+02	1.20340e-02
1.23112e+02	1.20519e-02
1.23812e+02	1.20698e-02
1.24512e+02	1.20878e-02
1.25213e+02	1.21059e-02
1.25913e+02	1.21239e-02
1.26613e+02	1.21421e-02
1.27314e+02	1.21602e-02
1.28014e+02	1.21784e-02
1.28714e+02	1.21966e-02
1.29415e+02	1.22149e-02
1.30115e+02	1.22332e-02
1.30815e+02	1.22516e-02
1.31516e+02	1.22700e-02
1.32216e+02	1.22885e-02
1.32916e+02	1.23069e-02
1.33617e+02	1.23255e-02
1.34317e+02	1.23441e-02
1.35018e+02	1.23627e-02
1.35718e+02	1.23813e-02
1.36418e+02	1.24000e-02
1.37119e+02	1.24188e-02
1.37819e+02	1.24376e-02
1.38519e+02	1.24564e-02
1.39220e+02	1.24753e-02
1.39920e+02	1.24942e-02
1.40620e+02	1.25131e-02
1.41321e+02	1.25321e-02
1.42021e+02	1.25512e-02
1.42721e+02	1.25703e-02
1.43422e+02	1.25894e-02
1.44122e+02	1.26086e-02
1.44822e+02	1.26278e-02
1.45523e+02	1.26471e-02
1.46223e+02	1.26664e-02
1.46923e+02	1.26857e-02
1.47624e+02	1.27051e-02
1.48324e+02	1.27246e-02
1.49025e+02	1.27441e-02
1.49725e+02	1.27636e-02
1.50425e+02	1.27832e-02
