# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
1.00000e+02	1.66564e-02
1.00700e+02	1.66809e-02
1.01401e+02	1.67054e-02
1.02101e+02	1.67300e-02
1.02801e+02	1.67546e-02
1.03502e+02	1.67793e-02
1.04202e+02	1.68041e-02
1.04902e+02	1.68289e-02
1.05603e+02	1.68538e-02
1.06303e+02	1.68787e-02
1.07004e+02	1.69037e-02
1.07704e+02	1.69287e-02
1.08404e+02	1.69538e-02
1.09105e+02	1.69789e-02
1.09805e+02	1.70041e-02
1.10505e+02	1.70294e-02
1.11206e+02	1.70547e-02
1.11906e+02	1.70800e-02
1.12606e+02	1.71055e-02
1.13307e+02	1.71309e-02
1.14007e+02	1.71565e-02
1.14707e+02	1.71821e-02
1.15408e+02	1.72077e-02
1.16108e+02	1.72334e-02
1.16808e+02	1.72592e-02
1.17509e+02	1.72850e-02
1.18209e+02	1.73109e-02
1.18909e+02	1.73369e-02
1.19610e+02	1.73629e-02
1.20310e+02	1.73889e-02
1.21011e+02	1.74151e-02
1.21711e+02	1.74412e-02
1.22411e+02	1.74675e-02
1.23112e+02	1.74938e-02
1.23812e+02	1.75201e-02
1.24512e+02	1.75466e-02
1.25213e+02	1.75730e-02
1.25913e+02	1.75996e-02
1.26613e+02	1.76262e-02
1.27314e+02	1.76528e-02
1.28014e+02	1.76796e-02
1.28714e+02	1.77063e-02
1.29415e+02	1.77332e-02
1.30115e+02	1.77601e-02
1.30815e+02	1.77871e-02
1.31516e+02	1.78141e-02
1.32216e+02	1.78412e-02
1.32916e+02	1.78683e-02
1.33617e+02	1.78955e-02
1.34317e+02	1.79228e-02
1.35018e+02	1.79502e-02
1.35718e+02	1.79776e-02
1.36418e+02	1.80050e-02
1.37119e+02	1.80326e-02
1.37819e+02	1.80602e-02
1.38519e+02	1.80878e-02
1.39220e+02	1.81155e-02
1.39920e+02	1.81433e-02
1.40620e+02	1.81712e-02
1.41321e+02	1.81991e-02
1.42021e+02	1.82271e-02
1.42721e+02	1.82551e-02
1.43422e+02	1.82832e-02
1.44122e+02	1.83114e-02
1.44822e+02	1.83396e-02
1.45523e+02	1.83679e-02
1.46223e+02	1.83963e-02
1.46923e+02	1.84247e-02
1.47624e+02	1.84532e-02
1.48324e+02	1.84818e-02
1.49025e+02	1.85105e-02
1.49725e+02	1.85392e-02
1.50425e+02	1.85679e-02
1.51126e+02	1.85968e-02
1.51826e+02	1.86257e-02
1.52526e+02	1.86546e-02
1.53227e+02	1.86837e-02
1.53927e+02	1.87128e-02
1.54627e+02	1.87420e-02
1.55328e+02	1.87712e-02
1.56028e+02	1.88005e-02
1.56728e+02	1.88299e-02
1.57429e+02	1.88594e-02
1.58129e+02	1.88889e-02
1.58829e+02	1.89185e-02
1.59530e+02	1.89482e-02
1.60230e+02	1.89779e-02
1.60930e+02	1.90077e-02
1.61631e+02	1.90376e-02
1.62331e+02	1.90675e-02
1.63032e+02	1.90975e-02
1.63732e+02	1.91276e-02
1.64432e+02	1.91578e-02
1.65133e+02	1.91880e-02
1.65833e+02	1.92183e-02
1.66533e+02	1.92487e-02
1.67234e+02	1.92791e-02
1.67934e+02	1.93097e-02
1.68634e+02	1.93403e-02
1.69335e+02	1.93709e-02
1.70035e+02	1.94017e-02
1.70735e+02	1.94325e-02
1.71436e+02	1.94634e-02
1.72136e+02	1.94943e-02
1.72836e+02	1.95254e-02
1.73537e+02	1.95565e-02
1.74237e+02	1.95877e-02
1.74937e+02	1.96189e-02
1.75638e+02	1.96503e-02
1.76338e+02	1.96817e-02
1.77039e+02	1.97132e-02
1.77739e+02	1.97447e-02
1.78439e+02	1.97764e-02
1.79140e+02	1.98081e-02
1.79840e+02	1.98399e-02
1.80540e+02	1.98718e-02
1.81241e+02	1.99037e-02
1.81941e+02	1.99357e-02
1.82641e+02	1.99678e-02
1.83342e+02	2.00000e-02
1.84042e+02	2.00323e-02
1.84742e+02	2.00646e-02
1.85443e+02	2.00970e-02
1.86143e+02	2.01295e-02
1.86843e+02	2.01621e-02
1.87544e+02	2.01948e-02
1.88244e+02	2.02275e-02
1.88944e+02	2.02603e-02
1.89645e+02	2.02932e-02
1.90345e+02	2.03262e-02
1.91046e+02	2.03592e-02
1.91746e+02	2.03924e-02
1.92446e+02	2.04256e-02
1.93147e+02	2.04589e-02
1.93847e+02	2.04923e-02
1.94547e+02	2.05257e-02
1.95248e+02	2.05593e-02
1.95948e+02	2.05929e-02
1.96648e+02	2.06266e-02
1.97349e+02	2.06604e-02
1.98049e+02	2.06943e-02
1.98749e+02	2.07283e-02
1.99450e+02	2.07623e-02
2.00150e+02	2.07965e-02
2.00850e+02	2.08307e-02
2.01551e+02	2.08650e-02
2.02251e+02	2.08994e-02
2.02951e+02	2.09339e-02
2.03652e+02	2.09684e-02
2.04352e+02	2.10031e-02
2.05053e+02	2.10378e-02
2.05753e+02	2.10726e-02
2.06453e+02	2.11075e-02
2.07154e+02	2.11425e-02
2.07854e+02	2.11776e-02
2.08554e+02	2.12128e-02
2.09255e+02	2.12480e-02
2.09955e+02	2.12834e-02
2.10655e+02	2.13188e-02
2.11356e+02	2.13543e-02
2.12056e+02	2.13899e-02
2.12756e+02	2.14256e-02
2.13457e+02	2.14614e-02
2.14157e+02	2.14973e-02
2.14857e+02	2.15333e-02
2.15558e+02	2.15694e-02
2.16258e+02	2.16055e-02
2.16958e+02	2.16418e-02
2.17659e+02	2.16781e-02
2.18359e+02	2.17145e-02
2.19060e+02	2.17511e-02
2.19760e+02	2.17877e-02
2.20460e+02	2.18244e-02
2.21161e+02	2.18612e-02
2.21861e+02	2.18981e-02
2.22561e+02	2.19351e-02
2.23262e+02	2.19722e-02
2.23962e+02	2.20093e-02
2.24662e+02	2.20466e-02
2.25363e+02	2.20840e-02
2.26063e+02	2.21215e-02
2.26763e+02	2.21590e-02
2.27464e+02	2.21967e-02
2.28164e+02	2.22344e-02
2.28864e+02	2.22723e-02
2.29565e+02	2.23102e-02
2.30265e+02	2.23483e-02
2.30965e+02	2.23864e-02
2.31666e+02	2.24247e-02
2.32366e+02	2.24630e-02
2.33067e+02	2.25015e-02
2.33767e+02	2.25400e-02
2.34467e+02	2.25786e-02
2.35168e+02	2.26174e-02
2.35868e+02	2.26562e-02
2.36568e+02	2.26952e-02
2.37269e+02	2.27342e-02
2.37969e+02	2.27733e-02
2.38669e+02	2.28126e-02
2.39370e+02	2.28519e-02
2.40070e+02	2.28914e-02
2.40770e+02	2.29309e-02
2.41471e+02	2.29706e-02
2.42171e+02	2.30104e-02
2.42871e+02	2.30502e-02
2.43572e+02	2.30902e-02
2.44272e+02	2.31303e-02
2.44972e+02	2.31705e-02
2.45673e+02	2.32107e-02
2.46373e+02	2.32511e-02
2.47074e+02	2.32916e-02
2.47774e+02	2.33322e-02
2.48474e+02	2.33729e-02
2.49175e+02	2.34138e-02
2.49875e+02	2.34547e-02
2.50575e+02	2.34957e-02
2.51276e+02	2.35369e-02
