# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
1.00000e+02	1.59071e-02
1.00700e+02	1.59306e-02
1.01401e+02	1.59541e-02
1.02101e+02	1.59776e-02
1.02801e+02	1.60012e-02
1.03502e+02	1.60248e-02
1.04202e+02	1.60485e-02
1.04902e+02	1.60723e-02
1.05603e+02	1.60961e-02
1.06303e+02	1.61199e-02
1.07004e+02	1.61438e-02
1.07704e+02	1.61678e-02
1.08404e+02	1.61918e-02
1.09105e+02	1.62159e-02
1.09805e+02	1.62400e-02
1.10505e+02	1.62642e-02
1.11206e+02	1.62884e-02
1.11906e+02	1.63127e-02
1.12606e+02	1.63371e-02
1.13307e+02	1.63614e-02
1.14007e+02	1.63859e-02
1.14707e+02	1.64104e-02
1.15408e+02	1.64350e-02
1.16108e+02	1.64596e-02
1.16808e+02	1.64843e-02
1.17509e+02	1.65090e-02
1.18209e+02	1.65338e-02
1.18909e+02	1.65586e-02
1.19610e+02	1.65835e-02
1.20310e+02	1.66085e-02
1.21011e+02	1.66335e-02
1.21711e+02	1.66585e-02
1.22411e+02	1.66837e-02
1.23112e+02	1.67088e-02
1.23812e+02	1.67341e-02
1.24512e+02	1.67594e-02
1.25213e+02	1.67847e-02
1.25913e+02	1.68101e-02
1.26613e+02	1.68356e-02
1.27314e+02	1.68611e-02
1.28014e+02	1.68867e-02
1.28714e+02	1.69124e-02
1.29415e+02	1.69381e-02
1.30115e+02	1.69638e-02
1.30815e+02	1.69896e-02
1.31516e+02	1.70155e-02
1.32216e+02	1.70415e-02
1.32916e+02	1.70675e-02
1.33617e+02	1.70935e-02
1.34317e+02	1.71196e-02
1.35018e+02	1.71458e-02
1.35718e+02	1.71721e-02
1.36418e+02	1.71984e-02
1.37119e+02	1.72247e-02
1.37819e+02	1.72511e-02
1.38519e+02	1.72776e-02
1.39220e+02	1.73042e-02
1.39920e+02	1.73308e-02
1.40620e+02	1.73574e-02
1.41321e+02	1.73842e-02
1.42021e+02	1.74110e-02
1.42721e+02	1.74378e-02
1.43422e+02	1.74647e-02
1.44122e+02	1.74917e-02
1.44822e+02	1.75188e-02
1.45523e+02	1.75459e-02
1.46223e+02	1.75730e-02
1.46923e+02	1.76003e-02
1.47624e+02	1.76276e-02
1.48324e+02	1.76549e-02
1.49025e+02	1.76823e-02
1.49725e+02	1.77098e-02
1.50425e+02	1.77374e-02
1.51126e+02	1.77650e-02
1.51826e+02	1.77927e-02
1.52526e+02	1.78204e-02
1.53227e+02	1.78482e-02
1.53927e+02	1.78761e-02
1.54627e+02	1.79041e-02
1.55328e+02	1.79321e-02
1.56028e+02	1.79601e-02
1.56728e+02	1.79883e-02
1.57429e+02	1.80165e-02
1.58129e+02	1.80448e-02
1.58829e+02	1.80731e-02
1.59530e+02	1.81015e-02
1.60230e+02	1.81300e-02
1.60930e+02	1.81585e-02
1.61631e+02	1.81872e-02
1.62331e+02	1.82158e-02
1.63032e+02	1.82446e-02
1.63732e+02	1.82734e-02
1.64432e+02	1.83023e-02
1.65133e+02	1.83312e-02
1.65833e+02	1.83603e-02
1.66533e+02	1.83894e-02
1.67234e+02	1.84185e-02
1.67934e+02	1.84478e-02
1.68634e+02	1.84771e-02
1.69335e+02	1.85064e-02
1.70035e+02	1.85359e-02
1.70735e+02	1.85654e-02
1.71436e+02	1.85950e-02
1.72136e+02	1.86246e-02
1.72836e+02	1.86543e-02
1.73537e+02	1.86841e-02
1.74237e+02	1.87140e-02
1.74937e+02	1.87440e-02
1.75638e+02	1.87740e-02
1.76338e+02	1.88041e-02
1.77039e+02	1.88342e-02
1.77739e+02	1.88645e-02
1.78439e+02	1.88948e-02
1.79140e+02	1.89251e-02
1.79840e+02	1.89556e-02
1.80540e+02	1.89861e-02
1.81241e+02	1.90167e-02
1.81941e+02	1.90474e-02
1.82641e+02	1.90782e-02
1.83342e+02	1.91090e-02
1.84042e+02	1.91399e-02
1.84742e+02	1.91709e-02
1.85443e+02	1.92019e-02
1.86143e+02	1.92330e-02
1.86843e+02	1.92642e-02
1.87544e+02	1.92955e-02
1.88244e+02	1.93269e-02
1.88944e+02	1.93583e-02
1.89645e+02	1.93898e-02
1.90345e+02	1.94214e-02
1.91046e+02	1.94531e-02
1.91746e+02	1.94848e-02
1.92446e+02	1.95167e-02
1.93147e+02	1.95486e-02
1.93847e+02	1.95805e-02
1.94547e+02	1.96126e-02
1.95248e+02	1.96447e-02
1.95948e+02	1.96769e-02
1.96648e+02	1.97092e-02
1.97349e+02	1.97416e-02
1.98049e+02	1.97741e-02
1.98749e+02	1.98066e-02
1.99450e+02	1.98392e-02
2.00150e+02	1.98719e-02
2.00850e+02	1.99047e-02
2.01551e+02	1.99376e-02
2.02251e+02	1.99705e-02
2.02951e+02	2.00036e-02
2.03652e+02	2.00367e-02
2.04352e+02	2.00699e-02
2.05053e+02	2.01031e-02
2.05753e+02	2.01365e-02
2.06453e+02	2.01699e-02
2.07154e+02	2.02035e-02
2.07854e+02	2.02371e-02
2.08554e+02	2.02708e-02
2.09255e+02	2.03045e-02
2.09955e+02	2.03384e-02
2.10655e+02	2.03724e-02
2.11356e+02	2.04064e-02
2.12056e+02	2.04405e-02
2.12756e+02	2.04747e-02
2.13457e+02	2.05090e-02
2.14157e+02	2.05434e-02
2.14857e+02	2.05779e-02
2.15558e+02	2.06124e-02
2.16258e+02	2.06471e-02
2.16958e+02	2.06818e-02
2.17659e+02	2.07166e-02
2.18359e+02	2.07515e-02
2.19060e+02	2.07865e-02
2.19760e+02	2.08216e-02
2.20460e+02	2.08568e-02
2.21161e+02	2.08920e-02
2.21861e+02	2.09274e-02
2.22561e+02	2.09628e-02
2.23262e+02	2.09984e-02
2.23962e+02	2.10340e-02
2.24662e+02	2.10697e-02
2.25363e+02	2.11055e-02
2.26063e+02	2.11414e-02
2.26763e+02	2.11774e-02
2.27464e+02	2.12135e-02
2.28164e+02	2.12497e-02
2.28864e+02	2.12860e-02
2.29565e+02	2.13223e-02
2.30265e+02	2.13588e-02
2.30965e+02	2.13953e-02
2.31666e+02	2.14320e-02
2.32366e+02	2.14687e-02
2.33067e+02	2.15056e-02
2.33767e+02	2.15425e-02
2.34467e+02	2.15795e-02
2.35168e+02	2.16166e-02
2.35868e+02	2.16539e-02
2.36568e+02	2.16912e-02
2.37269e+02	2.17286e-02
2.37969e+02	2.17661e-02
2.38669e+02	2.18037e-02
2.39370e+02	2.18414e-02
2.40070e+02	2.18792e-02
2.40770e+02	2.19171e-02
2.41471e+02	2.19551e-02
2.42171e+02	2.19932e-02
2.42871e+02	2.20315e-02
2.43572e+02	2.20698e-02
2.44272e+02	2.21082e-02
2.44972e+02	2.21467e-02
2.45673e+02	2.21853e-02
2.46373e+02	2.22240e-02
2.47074e+02	2.22628e-02
2.47774e+02	2.23017e-02
2.48474e+02	2.23407e-02
2.49175e+02	2.23798e-02
2.49875e+02	2.24191e-02
2.50575e+02	2.24584e-02
2.51276e+02	2.24978e-02
2.51976e+02	2.25374e-02
2.52676e+02	2.25770e-02
2.53377e+02	2.26167e-02
2.54077e+02	2.26566e-02
2.54777e+02	2.26966e-02
2.55478e+02	2.27366e-02
2.56178e+02	2.27768e-02
2.56878e+02	2.28171e-02
2.57579e+02	2.28574e-02
2.58279e+02	2.28979e-02
2.58979e+02	2.29385e-02
2.59680e+02	2.29793e-02
2.60380e+02	2.30201e-02
2.61081e+02	2.30610e-02
2.61781e+02	2.31020e-02
2.62481e+02	2.31432e-02
2.63182e+02	2.31844e-02
2.63882e+02	2.32258e-02
2.64582e+02	2.32673e-02
2.65283e+02	2.33089e-02
2.65983e+02	2.33506e-02
2.66683e+02	2.33924e-02
2.67384e+02	2.34344e-02
2.68084e+02	2.34764e-02
2.68784e+02	2.35186e-02
2.69485e+02	2.35608e-02
2.70185e+02	2.36032e-02
2.70885e+02	2.36457e-02
2.71586e+02	2.36884e-02
2.72286e+02	2.37311e-02
2.72986e+02	2.37739e-02
2.73687e+02	2.38169e-02
2.74387e+02	2.38600e-02
2.75088e+02	2.39032e-02
2.75788e+02	2.39465e-02
2.76488e+02	2.39900e-02
2.77189e+02	2.40335e-02
2.77889e+02	2.40772e-02
2.78589e+02	2.41210e-02
2.79290e+02	2.41649e-02
2.79990e+02	2.42090e-02
2.80690e+02	2.42531e-02
2.81391e+02	2.42974e-02
2.82091e+02	2.43418e-02
2.82791e+02	2.43864e-02
2.83492e+02	2.44310e-02
2.84192e+02	2.44758e-02
2.84892e+02	2.45207e-02
2.85593e+02	2.45657e-02
2.86293e+02	2.46109e-02
2.86993e+02	2.46561e-02
2.87694e+02	2.47015e-02
2.88394e+02	2.47471e-02
2.89095e+02	2.47927e-02
2.89795e+02	2.48385e-02
2.90495e+02	2.48844e-02
2.91196e+02	2.49304e-02
2.91896e+02	2.49766e-02
2.92596e+02	2.50229e-02
2.93297e+02	2.50693e-02
2.93997e+02	2.51159e-02
2.94697e+02	2.51626e-02
2.95398e+02	2.52094e-02
2.96098e+02	2.52563e-02
2.96798e+02	2.53034e-02
2.97499e+02	2.53506e-02
2.98199e+02	2.53980e-02
2.98899e+02	2.54454e-02
2.99600e+02	2.54930e-02
3.00300e+02	2.55408e-02
3.01001e+02	2.55887e-02
3.01701e+02	2.56367e-02
3.02401e+02	2.56849e-02
3.03102e+02	2.57331e-02
3.03802e+02	2.57816e-02
3.04502e+02	2.58301e-02
3.05203e+02	2.58788e-02
3.05903e+02	2.59277e-02
3.06603e+02	2.59767e-02
3.07304e+02	2.60258e-02
3.08004e+02	2.60751e-02
3.08704e+02	2.61245e-02
3.09405e+02	2.61740e-02
3.10105e+02	2.62237e-02
3.10805e+02	2.62735e-02
3.11506e+02	2.63235e-02
3.12206e+02	2.63736e-02
3.12906e+02	2.64239e-02
3.13607e+02	2.64743e-02
3.14307e+02	2.65248e-02
3.15008e+02	2.65755e-02
3.15708e+02	2.66264e-02
3.16408e+02	2.66774e-02
3.17109e+02	2.67285e-02
3.17809e+02	2.67798e-02
3.18509e+02	2.68312e-02
3.19210e+02	2.68828e-02
3.19910e+02	2.69345e-02
3.20610e+02	2.69864e-02
3.21311e+02	2.70385e-02
3.22011e+02	2.70906e-02
3.22711e+02	2.71430e-02
3.23412e+02	2.71955e-02
3.24112e+02	2.72481e-02
3.24812e+02	2.73009e-02
3.25513e+02	2.73539e-02
3.26213e+02	2.74070e-02
3.26913e+02	2.74603e-02
3.27614e+02	2.75137e-02
3.28314e+02	2.75673e-02
3.29015e+02	2.76210e-02
3.29715e+02	2.76749e-02
3.30415e+02	2.77289e-02
3.31116e+02	2.77832e-02
3.31816e+02	2.78375e-02
3.32516e+02	2.78921e-02
3.33217e+02	2.79468e-02
3.33917e+02	2.80016e-02
3.34617e+02	2.80566e-02
3.35318e+02	2.81118e-02
3.36018e+02	2.81672e-02
3.36718e+02	2.82227e-02
3.37419e+02	2.82784e-02
3.38119e+02	2.83342e-02
3.38819e+02	2.83902e-02
3.39520e+02	2.84464e-02
3.40220e+02	2.85028e-02
3.40920e+02	2.85593e-02
3.41621e+02	2.86160e-02
3.42321e+02	2.86728e-02
3.43022e+02	2.87298e-02
3.43722e+02	2.87870e-02
3.44422e+02	2.88444e-02
3.45123e+02	2.89020e-02
3.45823e+02	2.89597e-02
3.46523e+02	2.90176e-02
3.47224e+02	2.90756e-02
3.47924e+02	2.91339e-02
3.48624e+02	2.91923e-02
3.49325e+02	2.92509e-02
3.50025e+02	2.93097e-02
3.50725e+02	2.93686e-02
3.51426e+02	2.94277e-02
3.52126e+02	2.94871e-02
3.52826e+02	2.95465e-02
3.53527e+02	2.96062e-02
3.54227e+02	2.96661e-02
3.54927e+02	2.97261e-02
3.55628e+02	2.97863e-02
3.56328e+02	2.98467e-02
3.57029e+02	2.99073e-02
3.57729e+02	2.99681e-02
3.58429e+02	3.00291e-02
3.59130e+02	3.00902e-02
3.59830e+02	3.01516e-02
3.60530e+02	3.02131e-02
3.61231e+02	3.02748e-02
3.61931e+02	3.03367e-02
3.62631e+02	3.03988e-02
3.63332e+02	3.04611e-02
3.64032e+02	3.05236e-02
3.64732e+02	3.05863e-02
3.65433e+02	3.06492e-02
3.66133e+02	3.07122e-02
3.66833e+02	3.07755e-02
3.67534e+02	3.08390e-02
3.68234e+02	3.09026e-02
3.68934e+02	3.09665e-02
3.69635e+02	3.10306e-02
3.70335e+02	3.10948e-02
3.71036e+02	3.11593e-02
3.71736e+02	3.12240e-02
3.72436e+02	3.12888e-02
3.73137e+02	3.13539e-02
3.73837e+02	3.14192e-02
3.74537e+02	3.14847e-02
3.75238e+02	3.15503e-02
3.75938e+02	3.16162e-02
3.76638e+02	3.16823e-02
3.77339e+02	3.17487e-02
3.78039e+02	3.18152e-02
3.78739e+02	3.18819e-02
3.79440e+02	3.19489e-02
3.80140e+02	3.20160e-02
3.80840e+02	3.20834e-02
