# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
1.00000e+02	3.18819e+02
1.00700e+02	3.21657e+02
1.01401e+02	3.24532e+02
1.02101e+02	3.27446e+02
1.02801e+02	3.30399e+02
1.03502e+02	3.33393e+02
1.04202e+02	3.36428e+02
1.04902e+02	3.39505e+02
1.05603e+02	3.42624e+02
1.06303e+02	3.45786e+02
1.07004e+02	3.48993e+02
1.07704e+02	3.52244e+02
1.08404e+02	3.55541e+02
1.09105e+02	3.58885e+02
1.09805e+02	3.62276e+02
1.10505e+02	3.65716e+02
1.11206e+02	3.69205e+02
1.11906e+02	3.72745e+02
1.12606e+02	3.76335e+02
1.13307e+02	3.79978e+02
1.14007e+02	3.83675e+02
1.14707e+02	3.87425e+02
1.15408e+02	3.91231e+02
1.16108e+02	3.95094e+02
1.16808e+02	3.99014e+02
1.17509e+02	4.02993e+02
1.18209e+02	4.07032e+02
1.18909e+02	4.11133e+02
1.19610e+02	4.15295e+02
1.20310e+02	4.19522e+02
1.21011e+02	4.23814e+02
1.21711e+02	4.28172e+02
1.22411e+02	4.32597e+02
1.23112e+02	4.37092e+02
1.23812e+02	4.41658e+02
1.24512e+02	4.46296e+02
1.25213e+02	4.51007e+02
1.25913e+02	4.55794e+02
1.26613e+02	4.60657e+02
1.27314e+02	4.65599e+02
1.28014e+02	4.70622e+02
1.28714e+02	4.75726e+02
1.29415e+02	4.80914e+02
1.30115e+02	4.86188e+02
1.30815e+02	4.91549e+02
1.31516e+02	4.97000e+02
1.32216e+02	5.02542e+02
1.32916e+02	5.08178e+02
1.33617e+02	5.13910e+02
1.34317e+02	5.19739e+02
1.35018e+02	5.25668e+02
1.35718e+02	5.31701e+02
1.36418e+02	5.37837e+02
1.37119e+02	5.44081e+02
1.37819e+02	5.50435e+02
1.38519e+02	5.56902e+02
1.39220e+02	5.63483e+02
1.39920e+02	5.70182e+02
1.40620e+02	5.77002e+02
1.41321e+02	5.83946e+02
1.42021e+02	5.91016e+02
1.42721e+02	5.98216e+02
1.43422e+02	6.05549e+02
1.44122e+02	6.13018e+02
1.44822e+02	6.20627e+02
1.45523e+02	6.28379e+02
1.46223e+02	6.36278e+02
1.46923e+02	6.44327e+02
1.47624e+02	6.52531e+02
1.48324e+02	6.60893e+02
1.49025e+02	6.69418e+02
1.49725e+02	6.78110e+02
1.50425e+02	6.86972e+02
1.51126e+02	6.96011e+02
1.51826e+02	7.05230e+02
1.52526e+02	7.14634e+02
1.53227e+02	7.24229e+02
1.53927e+02	7.34019e+02
1.54627e+02	7.44010e+02
1.55328e+02	7.54207e+02
1.56028e+02	7.64617e+02
1.56728e+02	7.75245e+02
1.57429e+02	7.86097e+02
1.58129e+02	7.97180e+02
1.58829e+02	8.08501e+02
1.59530e+02	8.20065e+02
1.60230e+02	8.31881e+02
1.60930e+02	8.43956e+02
1.61631e+02	8.56297e+02
1.62331e+02	8.68912e+02
1.63032e+02	8.81810e+02
1.63732e+02	8.94999e+02
1.64432e+02	9.08488e+02
1.65133e+02	9.22286e+02
1.65833e+02	9.36403e+02
1.66533e+02	9.50848e+02
1.67234e+02	9.65633e+02
1.67934e+02	9.80767e+02
1.68634e+02	9.96263e+02
1.69335e+02	1.01213e+03
1.70035e+02	1.02838e+03
1.70735e+02	1.04503e+03
1.71436e+02	1.06209e+03
1.72136e+02	1.07958e+03
1.72836e+02	1.09750e+03
1.73537e+02	1.11588e+03
1.74237e+02	1.13473e+03
1.74937e+02	1.15406e+03
1.75638e+02	1.17389e+03
1.76338e+02	1.19424e+03
1.77039e+02	1.21513e+03
1.77739e+02	1.23658e+03
1.78439e+02	1.25860e+03
1.79140e+02	1.28123e+03
1.79840e+02	1.30447e+03
1.80540e+02	1.32836e+03
1.81241e+02	1.35292e+03
1.81941e+02	1.37817e+03
1.82641e+02	1.40414e+03
1.83342e+02	1.43085e+03
1.84042e+02	1.45835e+03
1.84742e+02	1.48665e+03
1.85443e+02	1.51579e+03
1.86143e+02	1.54580e+03
1.86843e+02	1.57672e+03
1.87544e+02	1.60859e+03
1.88244e+02	1.64145e+03
1.88944e+02	1.67533e+03
1.89645e+02	1.71028e+03
1.90345e+02	1.74635e+03
1.91046e+02	1.78359e+03
1.91746e+02	1.82204e+03
1.92446e+02	1.86176e+03
1.93147e+02	1.90281e+03
1.93847e+02	1.94525e+03
1.94547e+02	1.98914e+03
1.95248e+02	2.03455e+03
1.95948e+02	2.08155e+03
1.96648e+02	2.13021e+03
1.97349e+02	2.18063e+03
1.98049e+02	2.23288e+03
1.98749e+02	2.28705e+03
1.99450e+02	2.34325e+03
2.00150e+02	2.40156e+03
2.00850e+02	2.46212e+03
2.01551e+02	2.52502e+03
2.02251e+02	2.59039e+03
2.02951e+02	2.65838e+03
2.03652e+02	2.72911e+03
2.04352e+02	2.80275e+03
2.05053e+02	2.87945e+03
2.05753e+02	2.95938e+03
2.06453e+02	3.04275e+03
2.07154e+02	3.12974e+03
2.07854e+02	3.22058e+03
2.08554e+02	3.31548e+03
2.09255e+02	3.41472e+03
2.09955e+02	3.51855e+03
2.10655e+02	3.62727e+03
2.11356e+02	3.74119e+03
2.12056e+02	3.86066e+03
2.12756e+02	3.98604e+03
2.13457e+02	4.11774e+03
2.14157e+02	4.25619e+03
2.14857e+02	4.40187e+03
2.15558e+02	4.55531e+03
2.16258e+02	4.71705e+03
2.16958e+02	4.88773e+03
2.17659e+02	5.06802e+03
2.18359e+02	5.25868e+03
2.19060e+02	5.46050e+03
2.19760e+02	5.67441e+03
2.20460e+02	5.90140e+03
2.21161e+02	6.14255e+03
2.21861e+02	6.39911e+03
2.22561e+02	6.67242e+03
2.23262e+02	6.96398e+03
2.23962e+02	7.27549e+03
2.24662e+02	7.60881e+03
2.25363e+02	7.96607e+03
2.26063e+02	8.34963e+03
2.26763e+02	8.76216e+03
2.27464e+02	9.20669e+03
2.28164e+02	9.68663e+03
2.28864e+02	1.02059e+04
2.29565e+02	1.07689e+04
2.30265e+02	1.13807e+04
2.30965e+02	1.20472e+04
2.31666e+02	1.27751e+04
2.32366e+02	1.35721e+04
2.33067e+02	1.44474e+04
2.33767e+02	1.54114e+04
2.34467e+02	1.64766e+04
2.35168e+02	1.76574e+04
2.35868e+02	1.89710e+04
2.36568e+02	2.04378e+04
2.37269e+02	2.20820e+04
2.37969e+02	2.39327e+04
2.38669e+02	2.60247e+04
2.39370e+02	2.84004e+04
2.40070e+02	3.11108e+04
2.40770e+02	3.42180e+04
2.41471e+02	3.77977e+04
2.42171e+02	4.19418e+04
2.42871e+02	4.67622e+04
2.43572e+02	5.23934e+04
2.44272e+02	5.89956e+04
2.44972e+02	6.67540e+04
2.45673e+02	7.58732e+04
2.46373e+02	8.65599e+04
2.47074e+02	9.89830e+04
2.47774e+02	1.13199e+05
2.48474e+02	1.29026e+05
2.49175e+02	1.45870e+05
2.49875e+02	1.62541e+05
2.50575e+02	1.77202e+05
2.51276e+02	1.87639e+05
2.51976e+02	1.91949e+05
2.52676e+02	1.89363e+05
2.53377e+02	1.80640e+05
2.54077e+02	1.67690e+05
2.54777e+02	1.52755e+05
2.55478e+02	1.37714e+05
2.56178e+02	1.23803e+05
2.56878e+02	1.11667e+05
2.57579e+02	1.01537e+05
2.58279e+02	9.34102e+04
2.58979e+02	8.71804e+04
2.59680e+02	8.27139e+04
2.60380e+02	7.98928e+04
2.61081e+02	7.86356e+04
2.61781e+02	7.89053e+04
2.62481e+02	8.07097e+04
2.63182e+02	8.40950e+04
2.63882e+02	8.91292e+04
2.64582e+02	9.58703e+04
2.65283e+02	1.04307e+05
2.65983e+02	1.14262e+05
2.66683e+02	1.25254e+05
2.67384e+02	1.36353e+05
2.68084e+02	1.46130e+05
2.68784e+02	1.52835e+05
2.69485e+02	1.54920e+05
2.70185e+02	1.51683e+05
2.70885e+02	1.43609e+05
2.71586e+02	1.32118e+05
2.72286e+02	1.18935e+05
2.72986e+02	1.05528e+05
2.73687e+02	9.28697e+04
2.74387e+02	8.14591e+04
2.75088e+02	7.14590e+04
2.75788e+02	6.28362e+04
2.76488e+02	5.54626e+04
2.77189e+02	4.91770e+04
2.77889e+02	4.38178e+04
