# File written by the predict_spectrum.py script.
# frequency (cm^-1)	Intensity
1.00000e+02	3.09678e+02
1.00700e+02	3.12436e+02
1.01401e+02	3.15232e+02
1.02101e+02	3.18067e+02
1.02801e+02	3.20942e+02
1.03502e+02	3.23857e+02
1.04202e+02	3.26813e+02
1.04902e+02	3.29811e+02
1.05603e+02	3.32851e+02
1.06303e+02	3.35934e+02
1.07004e+02	3.39061e+02
1.07704e+02	3.42232e+02
1.08404e+02	3.45449e+02
1.09105e+02	3.48713e+02
1.09805e+02	3.52023e+02
1.10505e+02	3.55381e+02
1.11206e+02	3.58789e+02
1.11906e+02	3.62246e+02
1.12606e+02	3.65753e+02
1.13307e+02	3.69313e+02
1.14007e+02	3.72925e+02
1.14707e+02	3.76591e+02
1.15408e+02	3.80312e+02
1.16108e+02	3.84089e+02
1.16808e+02	3.87922e+02
1.17509e+02	3.91814e+02
1.18209e+02	3.95765e+02
1.18909e+02	3.99777e+02
1.19610e+02	4.03850e+02
1.20310e+02	4.07986e+02
1.21011e+02	4.12187e+02
1.21711e+02	4.16453e+02
1.22411e+02	4.20786e+02
1.23112e+02	4.25188e+02
1.23812e+02	4.29659e+02
1.24512e+02	4.34201e+02
1.25213e+02	4.38817e+02
1.25913e+02	4.43506e+02
1.26613e+02	4.48272e+02
1.27314e+02	4.53115e+02
1.28014e+02	4.58038e+02
1.28714e+02	4.63042e+02
1.29415e+02	4.68128e+02
1.30115e+02	4.73299e+02
1.30815e+02	4.78557e+02
1.31516e+02	4.83903e+02
1.32216e+02	4.89339e+02
1.32916e+02	4.94869e+02
1.33617e+02	5.00492e+02
1.34317e+02	5.06213e+02
1.35018e+02	5.12033e+02
1.35718e+02	5.17954e+02
1.36418e+02	5.23979e+02
1.37119e+02	5.30110e+02
1.37819e+02	5.36349e+02
1.38519e+02	5.42700e+02
1.39220e+02	5.49165e+02
1.39920e+02	5.55747e+02
1.40620e+02	5.62448e+02
1.41321e+02	5.69271e+02
1.42021e+02	5.76221e+02
1.42721e+02	5.83298e+02
1.43422e+02	5.90507e+02
1.44122e+02	5.97852e+02
1.44822e+02	6.05335e+02
1.45523e+02	6.12960e+02
1.46223e+02	6.20730e+02
1.46923e+02	6.28650e+02
1.47624e+02	6.36723e+02
1.48324e+02	6.44953e+02
1.49025e+02	6.53344e+02
1.49725e+02	6.61901e+02
1.50425e+02	6.70628e+02
1.51126e+02	6.79530e+02
1.51826e+02	6.88611e+02
1.52526e+02	6.97875e+02
1.53227e+02	7.07329e+02
1.53927e+02	7.16977e+02
1.54627e+02	7.26825e+02
1.55328e+02	7.36878e+02
1.56028e+02	7.47142e+02
1.56728e+02	7.57623e+02
1.57429e+02	7.68327e+02
1.58129e+02	7.79261e+02
1.58829e+02	7.90431e+02
1.59530e+02	8.01844e+02
1.60230e+02	8.13507e+02
1.60930e+02	8.25428e+02
1.61631e+02	8.37614e+02
1.62331e+02	8.50074e+02
1.63032e+02	8.62815e+02
1.63732e+02	8.75846e+02
1.64432e+02	8.89176e+02
1.65133e+02	9.02814e+02
1.65833e+02	9.16771e+02
1.66533e+02	9.31055e+02
1.67234e+02	9.45677e+02
1.67934e+02	9.60649e+02
1.68634e+02	9.75981e+02
1.69335e+02	9.91685e+02
1.70035e+02	1.00777e+03
1.70735e+02	1.02426e+03
1.71436e+02	1.04116e+03
1.72136e+02	1.05848e+03
1.72836e+02	1.07623e+03
1.73537e+02	1.09445e+03
1.74237e+02	1.11313e+03
1.74937e+02	1.13229e+03
1.75638e+02	1.15196e+03
1.76338e+02	1.17215e+03
1.77039e+02	1.19288e+03
1.77739e+02	1.21417e+03
1.78439e+02	1.23603e+03
1.79140e+02	1.25850e+03
1.79840e+02	1.28159e+03
1.80540e+02	1.30532e+03
1.81241e+02	1.32973e+03
1.81941e+02	1.35483e+03
1.82641e+02	1.38066e+03
1.83342e+02	1.40723e+03
1.84042e+02	1.43459e+03
1.84742e+02	1.46276e+03
1.85443e+02	1.49177e+03
1.86143e+02	1.52167e+03
1.86843e+02	1.55248e+03
1.87544e+02	1.58424e+03
1.88244e+02	1.61700e+03
1.88944e+02	1.65080e+03
1.89645e+02	1.68568e+03
1.90345e+02	1.72169e+03
1.91046e+02	1.75888e+03
1.91746e+02	1.79730e+03
1.92446e+02	1.83701e+03
1.93147e+02	1.87807e+03
1.93847e+02	1.92053e+03
1.94547e+02	1.96446e+03
1.95248e+02	2.00992e+03
1.95948e+02	2.05698e+03
1.96648e+02	2.10571e+03
1.97349e+02	2.15618e+03
1.98049e+02	2.20847e+03
1.98749e+02	2.26270e+03
1.99450e+02	2.31897e+03
